,0,1,2,3,4,5,6,7
0,69,71.01999997151692,0.13597342371940613,0.0265148114413023,0.13597342371940613,0.0265148114413023,0.13597342371940613,0.0265148114413023
1,81,72.29999993896485,0.13544902205467224,0.036722660064697266,0.13544902205467224,0.036722660064697266,0.13544902205467224,0.036722660064697266
2,168,72.03333332519531,0.14693127572536469,0.04301181063055992,0.14693127572536469,0.04301181063055992,0.14693127572536469,0.04301181063055992
3,265,71.87333323974609,0.14054280519485474,0.0359431691467762,0.14054280519485474,0.0359431691467762,0.14054280519485474,0.0359431691467762
4,543,71.0866666463216,0.14667046070098877,0.04518807306885719,0.14667046070098877,0.04518807306885719,0.14667046070098877,0.04518807306885719
5,582,72.8399999226888,0.13087794184684753,0.031092707067728043,0.13087794184684753,0.031092707067728043,0.13087794184684753,0.031092707067728043
6,655,72.41999998779296,0.15560206770896912,0.04818731173872948,0.15560206770896912,0.04818731173872948,0.15560206770896912,0.04818731173872948
7,690,71.20666658935546,0.1381424069404602,0.035170771181583405,0.1381424069404602,0.035170771181583405,0.1381424069404602,0.035170771181583405
8,699,72.2399999267578,0.13299019634723663,0.03759341686964035,0.13299019634723663,0.03759341686964035,0.13299019634723663,0.03759341686964035
9,722,72.25999998779298,0.14229048788547516,0.03755496069788933,0.14229048788547516,0.03755496069788933,0.14229048788547516,0.03755496069788933
10,857,72.88000000000001,0.1267046183347702,0.036397069692611694,0.1267046183347702,0.036397069692611694,0.1267046183347702,0.036397069692611694
11,862,71.04000003255209,0.1296655386686325,0.029401976615190506,0.1296655386686325,0.029401976615190506,0.1296655386686325,0.029401976615190506
12,869,71.69333334147136,0.14401209354400635,0.041245050728321075,0.14401209354400635,0.041245050728321075,0.14401209354400635,0.041245050728321075
13,937,71.53999994710286,0.14165376126766205,0.036273498088121414,0.14165376126766205,0.036273498088121414,0.14165376126766205,0.036273498088121414
14,1317,72.56666669108073,0.1387178897857666,0.035278353840112686,0.1387178897857666,0.035278353840112686,0.1387178897857666,0.035278353840112686
15,1346,71.29333327229817,0.13199707865715027,0.02993668057024479,0.13199707865715027,0.02993668057024479,0.13199707865715027,0.02993668057024479
16,1425,72.09333332112631,0.13916751742362976,0.03216154873371124,0.13916751742362976,0.03216154873371124,0.13916751742362976,0.03216154873371124
17,1459,73.13999996337891,0.14075398445129395,0.04547784850001335,0.14075398445129395,0.04547784850001335,0.14075398445129395,0.04547784850001335
18,1462,71.10666660563152,0.1425037533044815,0.0438850075006485,0.1425037533044815,0.0438850075006485,0.1425037533044815,0.0438850075006485
